year,employer_has_discussed_mh_formally,employer_has_mh_resources_and_options,anonymity_guaranteed,difficulty_asking_for_mh_related_medical_leave,comfortable_discussing_mh_with_coworkers,comfortable_discussing_mh_with_supervisors,has_medical_coverage_mhd_included,knows_local_or_online_mhd_resources,revealed_mhd_to_clients_or_business_contacts,negative_impact_of_revealing_mhd_to_clients_contacts,productivity_affected_by_mh,percentage_of_work_time_affected_by_mh,prev_employer_provided_mh_coverage,knew_prev_employer_mh_coverage_options,prev_employer_discussed_mh_formally,prev_employer_had_mh_resources_and_options,prev_employer_anonymity_guaranteed,comfortable_discussing_mh_with_prev_coworkers,comfortable_discussing_mh_with_prev_supervisors,willing_to_bring_up_ph_in_interview_y_n,willing_to_bring_up_ph_in_interview_y_n_reason,willing_to_bring_up_mh_in_interview_y_n,willing_to_bring_up_mh_in_interview_y_n_reason,observed_or_experienced_unsupportiveness_or_bad_response,observations_of_response_to_mhd_of_others_made_less_likely_to_reveal
2018,I don't know,I don't know,I don't know,Somewhat difficult,Maybe,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,Depends on the issue and the reason for bringing it up.,Maybe,Depends on the issue and reason for bringing it up,No,No
2018,No,No,I don't know,Somewhat easy,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"Yes, at all of my previous employers",Some of my previous supervisors,Maybe,If my issue falls inline with a special accommodations need.,No,A mental health issue would cause me to not get the job for being seen as someone who lacks mental stability.,"Yes, I experienced",Yes
2018,No,I don't know,I don't know,I don't know,Maybe,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,At some of my previous employers,I don't know,No,"If the issue does not affect job performance, then it is irrelevant to the conversation.",Maybe,"It is something that could be brought up during conversation, if certain questions that I asked of the interviewer prompted responses that might be in conflict with mental health issues I was experiencing. The same goes if any statements the interviewer made might be in conflict.",Maybe/Not sure,No
2018,NA,NA,NA,NA,NA,NA,1,"No, I don't know any",Not applicable to me,N/A,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,"If it makes me less capable at doing the job the employer is asking of me, I would see bringing it up as a disadvantage.",No,I think its likely to be seen as an additional burden and place me at a disadvantage against other candidates.,No,No
2018,No,No,I don't know,Somewhat difficult,No,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Would have a negative effect on the outcome of the interview,No,Would have a negative effect on the outcome of the interview,No,Yes
2018,Yes,Yes,I don't know,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,Sometimes,At some of my previous employers,Some of my previous supervisors,Maybe,Depends on relevance and whether I believed an employer needed to know about it to make an informed decision about my ability to work in their organization.,No,I believe that any accommodations that would need to be made for me would be my responsibility.,"Yes, I observed",No
2018,No,I don't know,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did",I was aware of some,Some did,"Yes, they all did","Yes, always",At some of my previous employers,Some of my previous supervisors,Maybe,fear it would affect chances of being hired,Maybe,fear it would affect chances of being hired,No,No
2018,NA,NA,NA,NA,NA,NA,0,"Yes, I know several","No, because it would impact me negatively",Yes,Yes,1-25%,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers",Some of my previous supervisors,Yes,"I work in tech, many people see our bodies as nothing more than vehicles to code, physical ablism isn't as much of a thing. Mental ablism is a thing that can still get you ""snowflaked""",No,"People look down on it, I've had people call me a liar for things or that I'm look for excuses if (not even when, but a preemptive excuse) I mess up/under preform","Yes, I experienced",N/A
2018,Yes,Yes,Yes,Very easy,Maybe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,"Yes, I observed",No
2018,No,No,I don't know,I don't know,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,It's difficult to hide and may impact physically getting to the workplace.,No,It's a private matter and most people would not really understand.,No,No
2018,Yes,Yes,I don't know,Somewhat easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,No,I wouldn't feel it's relevant in the interview context.,No,"No benefit, significant risk.",Maybe/Not sure,No
2018,No,No,I don't know,I don't know,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,"I don't have an impeding physical ailment, so I don't know what I could have that I would bring up",Maybe,"I know it's important to fight the stigma, and I'm high functioning, so I can afford to mention it without risking the community",No,Yes
2018,No,No,Yes,I don't know,Maybe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,"depending on the issue, may or may not feel comfortable discussing it",No,definitely would not feel comfortable discussing it,No,N/A
2018,No,I don't know,Yes,Somewhat difficult,No,No,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,No,NA,No,Fear of being rejected.,"Yes, I experienced",No
2018,No,No,Yes,Somewhat easy,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Despite legislature I don't trust people to make a hiring decision independent of health issues.,No,Despite legislature I don't trust people to make a hiring decision independent of health issues.,"Yes, I observed",Yes
2018,No,No,No,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,No,"Yes, at all of my previous employers","Yes, all of my previous supervisors",Yes,NA,Yes,NA,"Yes, I experienced",N/A
2018,No,No,I don't know,Somewhat difficult,No,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,It's not their business,No,it's really not their business,No,No
2018,Yes,Yes,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,"No, at none of my previous employers","Yes, all of my previous supervisors",Maybe,"If I thought it relevant to the specific work, then probably.",No,"Even if it's not seen as an immediate Negative, it could be a point if Potential Negative, one that tipped me away from consideration if next to an otherwise equally qualified candidate.",No,No
2018,No,No,I don't know,Difficult,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,They could find a reason to not hire me based on this.,No,"They would be less likely to hire me, or would only hire me because of guilt.",Maybe/Not sure,No
2018,NA,NA,NA,NA,NA,NA,1,I know some,"Sometimes, if it comes up",No,Yes,1-25%,"No, none did",N/A (none offered),Some did,None did,"Yes, always",At some of my previous employers,Some of my previous supervisors,No,NA,No,NA,"Yes, I observed",No
2018,No,No,I don't know,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,Physical health issues are protected by law and generally seen as acceptable to discuss openly.,No,They would think I'm crazy.,Maybe/Not sure,N/A
2018,No,No,I don't know,Somewhat difficult,Maybe,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,"Just to know how he or she handled it, how severe was, how it could ever interfere in the work.",No,I don't know if I can talk about this.,Maybe/Not sure,No
2018,No,No,Yes,Very easy,No,Maybe,NA,NA,NA,NA,NA,NA,"No, none did",N/A (was not aware),None did,None did,"Yes, always","No, at none of my previous employers",I don't know,No,Bad points,No,Bad points,No,Maybe
2018,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Maybe,If I feel it's relevant to the duties and may require special accommodations I would bring it up.,Maybe,If I feel it's relevant to the duties of the position and may require special accommodation or on-going treatment.,"Yes, I observed",No
2018,Yes,Yes,Yes,I don't know,No,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",No,I have been let go from previous jobs for being sick. I would never tell another employer until I know for sure that they will be respectful of my health.,No,I have been let go from work for seeking treatment for PTSD while being on medical leave. I need insurance and an income to receive treatment. I would never jeopardize my employment at this point in history. It's unfortunate but the truth for me.,"Yes, I experienced",No
2018,Yes,Yes,Yes,Very easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always","Yes, at all of my previous employers",Some of my previous supervisors,Maybe,I would bring it up if it could have an impact on my work. Probably wouldn't otherwise unless it came up as part of a conversation.,Maybe,I would bring it up if I felt that it could impact my work.,No,N/A
2018,I don't know,Yes,Yes,I don't know,Maybe,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,No
2018,Yes,Yes,Yes,Somewhat easy,No,Yes,NA,NA,NA,NA,NA,NA,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always","No, at none of my previous employers",Some of my previous supervisors,No,Disclosure would likely bias the potential employer against hiring me. Physical health treatment is viewed as an expense by most employers. All employers seek to minimize expenses.,No,Disclosure would likely bias the potential employer against hiring me. Mental health treatment is viewed as an expense by most employers. All employers seek to minimize expenses.,"Yes, I observed",Yes
2018,Yes,Yes,Yes,Somewhat easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",Yes,"Less stigma, in hope they would provide extra help if needed",Maybe,"It depends on how much the disorder is affecting me on a daily basis - if I am not being affected I may not mention it outright, if I am suffering then I would make them aware","Yes, I observed",No
2018,No,No,I don't know,Difficult,Maybe,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,"If I felt it would be a hindrance, or that they should know about the problem.",Maybe,Only if they asked.,No,N/A
2018,No,No,No,Somewhat difficult,No,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,"No, at none of my previous employers",Some of my previous supervisors,Maybe,NA,No,Would probably not get job!,Maybe/Not sure,Yes
2018,No,Yes,Yes,I don't know,Maybe,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did","No, I only became aware later",None did,Some did,"Yes, always","No, at none of my previous employers","No, none of my previous supervisors",No,"Unless it prevents me from performing the interview or I would need an accommodation, it's none of their business.",No,"We're judged by many things in interviews, which are an already stressful event. I don't know that bringing up a mental health issue in an interview would be a good idea.","Yes, I observed",No
2018,No,No,I don't know,Neither easy nor difficult,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,I would bring it up only if I thought that it had a direct impact on my ability to do the job and a specific accommodation was needed.,No,Mental health discrimination (aka stigma) is acceptable and disclosing any information about a mental health issue that early in a relationship is extremely risky.,"Yes, I observed",No
2018,I don't know,I don't know,No,Neither easy nor difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Maybe,NA,Maybe/Not sure,No
2018,Yes,Yes,Yes,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,Depends on the situation and if relevant to the role I'm applying for.,Maybe,Depends on the situation and if relevant to the role I'm applying for.,Maybe/Not sure,No
2018,No,Yes,Yes,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Stoicism,No,NA,No,No
